taxon_id,disease,p_value,auc,auc_effect,mean_health,mean_disease,effect_direction,n_health,n_disease
487175,D015212,1.406789718476373e-48,0.19102,0.30898000000000003,0.004427344829206145,0.0011045859519501053,decreased,500,300
491921,D015212,4.8410897642119735e-22,0.7036,0.2036,0.004751164705048215,0.010843571236490625,increased,500,300
501571,D015212,3.2975109127192133e-13,0.6536066666666668,0.15360666666666678,0.004368468436453757,0.008137473629021825,increased,500,300
536633,D015212,0.00012110589674062785,0.41891333333333336,0.08108666666666664,0.004643135538848544,0.0035437924316798802,decreased,500,300
544645,D015212,2.344896140381818e-48,0.19175333333333333,0.30824666666666667,0.004359849408367332,0.0010443326290267912,decreased,500,300
552396,D015212,0.05368556122120682,0.4593,0.040700000000000014,0.004413022641920805,0.0038510980016177787,decreased,500,300
556262,D015212,1.506267747142975e-07,0.6107866666666667,0.1107866666666667,0.004649391293198409,0.007176419766619537,increased,500,300
563193,D015212,0.021516045112733095,0.4515066666666666,0.04849333333333339,0.004637313232659327,0.0038546054313407354,decreased,500,300
626930,D015212,1.6324285350376077e-48,0.19123333333333334,0.30876666666666663,0.0046645935250741125,0.0010739925088655293,decreased,500,300
626931,D015212,0.014800436625614798,0.4485866666666667,0.05141333333333331,0.004646138657409416,0.003710649526337031,decreased,500,300
626933,D015212,4.455773809654365e-05,0.58612,0.08611999999999997,0.0049444834679625085,0.007026112263240546,increased,500,300
626940,D015212,0.0018230595909289843,0.4342333333333333,0.0657666666666667,0.004424095031838176,0.0036093057839079886,decreased,500,300
633701,D015212,2.90689118154819e-51,0.18228,0.31772,0.0045953623368684225,0.001075658452704822,decreased,500,300
638849,D015212,1.593348417740638e-27,0.7293133333333335,0.22931333333333348,0.004213812259942936,0.01069821360876042,increased,500,300
658081,D015212,6.786898591192527e-07,0.6047866666666666,0.10478666666666658,0.004831666935807346,0.007294757788312575,increased,500,300
665943,D015212,0.006627249199217054,0.4427266666666666,0.0572733333333334,0.004452772262987532,0.003464899428991141,decreased,500,300
665951,D015212,1.9220966138650348e-43,0.20846,0.29154,0.004258475196239065,0.0010535701076480107,decreased,500,300
665956,D015212,0.0015040944298577506,0.43304666666666664,0.06695333333333336,0.0044876824497884086,0.003615485768178055,decreased,500,300
674529,D015212,3.050126792390594e-07,0.6080133333333333,0.1080133333333333,0.004763567208002002,0.007228230798242515,increased,500,300
742723,D015212,0.021516045112733095,0.45150666666666667,0.04849333333333333,0.004567604607386324,0.003545022075598725,decreased,500,300
749535,D015212,1.6978214524063798e-53,0.17518666666666666,0.32481333333333334,0.004801896521703713,0.0010323368083209055,decreased,500,300
751585,D015212,0.00039463196655012937,0.42524666666666666,0.07475333333333334,0.00469143779730135,0.0035341795700038546,decreased,500,300
762210,D015212,2.762501828762074e-07,0.6084066666666667,0.10840666666666665,0.004531665537235738,0.007569178606457567,increased,500,300
882211,D015212,0.014004979291934188,0.4481666666666667,0.05183333333333329,0.00445924710199932,0.003434166229765363,decreased,500,300
908612,D015212,1.1083452393362742e-47,0.19399333333333335,0.30600666666666665,0.004414944858580634,0.0010535084001456645,decreased,500,300
1095771,D015212,2.074719410113653e-20,0.6953066666666667,0.19530666666666674,0.0047402209867996896,0.009874252237287495,increased,500,300
1097668,D015212,1.6494196095500422e-08,0.6190866666666666,0.11908666666666656,0.004283864439931137,0.007186883802094795,increased,500,300
1111120,D015212,0.03637123575366815,0.4558533333333334,0.04414666666666661,0.00454866930085234,0.0035662060988770725,decreased,500,300
1118060,D015212,5.371425482166713e-48,0.19294666666666666,0.30705333333333334,0.00466369171951116,0.0011175780261623413,decreased,500,300
1118061,D015212,0.00043369710844550874,0.42577333333333334,0.07422666666666666,0.0046038048258521,0.0035291669178614165,decreased,500,300
1147129,D015212,0.00021286067782963418,0.57812,0.07811999999999997,0.004980240211128832,0.007144509011454876,increased,500,300
1161942,D015212,0.6740206526435846,0.4911266666666667,0.008873333333333289,0.004011600411649312,0.0037166269448890587,decreased,500,300
1211813,D015212,1.1441619239256198e-43,0.20767333333333332,0.2923266666666667,0.004636989332797226,0.0011590153601727397,decreased,500,300
1226322,D015212,0.00015740225750086702,0.42027999999999993,0.07972000000000007,0.0049977854205212405,0.003540314020867207,decreased,500,300
1226323,D015212,7.458247554939755e-07,0.6043999999999999,0.10439999999999994,0.004924225855575502,0.007109574185747718,increased,500,300
1226325,D015212,0.46963236609855197,0.4847466666666666,0.015253333333333396,0.004543101135860117,0.003900592817720554,decreased,500,300
1297750,D015212,4.048422613897362e-43,0.20959333333333333,0.2904066666666667,0.004627502866427442,0.0011875800629740521,decreased,500,300
1691891,D015212,1.016738493373436e-24,0.7165333333333335,0.21653333333333347,0.004755560966640295,0.011755846396728761,increased,500,300
1755626,D015212,2.119126752220601e-06,0.6000266666666667,0.10002666666666671,0.004983486284108483,0.0076969613108065875,increased,500,300
